"Date","Price","Open","High","Low","Change %"
"10/27/2023","4.9585","4.9542","4.9850","4.8956","0.00%"
"10/26/2023","4.9585","5.0600","5.0810","4.9350","-1.95%"
"10/25/2023","5.0570","4.9860","5.0690","4.9640","1.24%"
"10/24/2023","4.9950","4.9530","5.0210","4.9190","0.87%"
"10/23/2023","4.9520","5.0319","5.0740","4.9334","-2.79%"
"10/20/2023","5.0940","5.1070","5.1180","4.9730","0.00%"
"10/19/2023","5.0940","5.1120","5.1830","5.0790","-0.66%"
"10/18/2023","5.1280","5.1010","5.1502","5.0410","0.55%"
"10/17/2023","5.1000","4.9660","5.1270","4.9550","2.97%"
"10/16/2023","4.9530","4.9374","4.9670","4.9040","0.34%"
"10/15/2023","4.9360","4.9374","4.9374","4.9360","0.10%"
"10/13/2023","4.9310","4.9370","4.9540","4.8590","0.00%"
"10/12/2023","4.9310","4.8650","4.9640","4.8140","1.27%"
"10/11/2023","4.8690","4.8536","4.9050","4.7970","0.08%"
"10/10/2023","4.8650","4.9735","4.9735","4.8040","-0.92%"
"10/09/2023","4.9103","4.9735","4.9735","4.9735","0.00%"
"10/06/2023","4.9103","4.9020","5.0612","4.8940","0.00%"
"10/05/2023","4.9103","4.9590","4.9810","4.8900","-0.97%"
"10/04/2023","4.9584","5.0381","5.1000","4.9320","-1.68%"
"10/03/2023","5.0430","4.9910","5.0550","4.9633","1.02%"
"10/02/2023","4.9920","4.9542","5.0010","4.9400","1.01%"
"09/29/2023","4.9420","4.9190","4.9640","4.8569","0.00%"
"09/28/2023","4.9420","4.9950","5.0420","4.9180","-1.42%"
"09/27/2023","5.0132","4.9270","5.0310","4.9030","1.46%"
"09/26/2023","4.9410","4.9600","4.9970","4.9200","0.00%"
"09/25/2023","4.9410","4.9410","4.9710","4.9192","-0.73%"
"09/22/2023","4.9772","4.9740","4.9960","4.9037","0.00%"
"09/21/2023","4.9772","4.9900","5.0310","4.9350","1.11%"
"09/20/2023","4.9225","4.9110","5.0060","4.8530","0.07%"
"09/19/2023","4.9190","4.8600","4.9330","4.8350","1.31%"
"09/18/2023","4.8552","4.8662","4.8900","4.8431","0.86%"
"09/15/2023","4.8137","4.7990","4.8537","4.7940","0.00%"
"09/14/2023","4.8137","4.7950","4.8400","4.7478","0.22%"
"09/13/2023","4.8030","4.8430","4.8998","4.7622","-0.23%"
"09/12/2023","4.8140","4.7895","4.8460","4.7364","0.69%"
"09/11/2023","4.7810","4.8063","4.8320","4.7660","0.64%"
"09/08/2023","4.7506","4.7650","4.7930","4.7060","0.00%"
"09/07/2023","4.7506","4.8290","4.8430","4.7380","-1.53%"
"09/06/2023","4.8243","4.7320","4.8430","4.7210","1.24%"
"09/05/2023","4.7654","4.6810","4.7760","4.6746","2.95%"
"09/04/2023","4.6290","4.6810","4.6810","4.6746","0.00%"
"09/01/2023","4.6290","4.6550","4.7060","4.5461","0.00%"
"08/31/2023","4.6290","4.6630","4.6990","4.6100","-0.94%"
"08/30/2023","4.6730","4.7010","4.7343","4.6270","-0.33%"
"08/29/2023","4.6887","4.8210","4.8360","4.6610","-2.47%"
